#RtAcc (float32)[1],CommandState (uint8)[1]
-6227.3203,2
-7068.439,2
-7639.1875,2
-7630.5234,2
-7639.3247,2
-7638.222,2
-7639.385,2
-7639.4146,2
-7639.396,2
-7639.1865,2
-7639.404,2
-7639.3545,2
-7639.41,2
-7639.383,2
-7639.416,2
-7639.393,2
-7639.4185,2
-7639.395,2
-7639.4194,2
-7639.388,2
-7639.419,2
-7639.353,2
-7639.4165,2
-7592.787,2
-6465.279,2
-4555.4634,2
-2645.6335,2
-735.80054,2
1174.0312,2
3083.8572,2
4993.6636,2
6839.5474,2
7639.4053,2
7639.2573,2
7639.405,2
7639.312,2
7639.4033,2
7639.3115,2
7639.401,2
7639.2803,2
7639.397,2
7639.181,2
7639.3955,2
7635.0356,2
7639.391,2
7627.2163,2
7639.3813,2
7625.881,2
7639.371,2
7633.4624,2
7639.342,2
7639.186,2
7639.259,2
7639.224,2
7639.09,2
7639.245,2
7637.34,2
7639.2485,2
7632.578,2
7639.084,2
7281.8154,2
5934.897,2
4025.5186,2
2116.047,2
206.5279,2
-1702.987,2
-3612.4607,2
-5521.8125,2
-7069.192,2
-7639.101,2
-7633.1235,2
-7639.2266,2
-7630.0845,2
-7639.2256,2
-7639.4375,2
-7639.235,2
-7639.1914,2
-7639.094,5
