#RtAcc (float32)[1],CommandState (uint8)[1]
-70.015724,2
-64.81428,2
-59.762226,2
-52.26792,2
-44.366783,2
-38.872555,2
-33.529236,2
-25.659445,2
-17.38777,2
-11.598449,2
-5.962703,2
2.2737663,2
10.901892,2
16.974884,2
22.88963,2
31.472368,2
40.437134,2
46.78224,2
52.965042,2
61.875492,2
71.15648,2
77.759254,2
84.19598,2
93.41403,2
102.99217,2
109.84214,2
116.523155,2
126.03187,2
135.88928,2
142.97505,2
149.88766,2
159.66504,2
169.77742,2
177.08072,2
184.20593,2
194.22533,2
204.56621,2
212.06859,2
219.38826,2
229.6239,2
240.16608,2
247.84563,2
255.33534,2
265.75208,2
276.45694,2
284.28003,2
291.90552,2
302.46313,2
313.29312,2
321.232,2
328.96616,2
339.62906,2
350.54654,2
358.56943,2
366.3807,2
377.11063,2
388.0775,2
396.15237,2
404.0057,2
414.75742,2
425.7266,2
433.8126,2
441.66782,2
452.39496,2
463.32047,2
471.37796,2
479.19443,2
489.84894,2
500.68304,2
508.67108,2
516.4069,2
526.9381,2
537.6273,2
545.49615,2
553.10004,2
563.4502,2
573.93805,2
581.63776,2
589.05896,2
599.16943,2
609.396,2
616.8713,2
624.05396,2
633.8632,2
643.7675,2
650.9626,2
657.84985,2
667.2947,2
676.8136,2
683.67065,2
690.2045,2
699.2212,2
708.2908,2
714.7496,2
720.8695,2
729.39325,2
737.9506,2
743.95355,2
749.59985,2
757.56354,2
765.5396,2
771.0194,2
776.12256,2
783.45087,2
790.76996,2
795.655,2
800.1452,2
806.76697,2
813.36053,2
817.5859,2
821.3979,2
827.2455,2
833.0482,2
836.55316,2
839.627,2
844.6373,2
849.5865,2
852.31,2
854.5845,2
858.69507,2
862.7306,2
864.6157,2
866.0332,2
869.18335,2
872.24396,2
873.2297,2
873.729,2
875.85724,2
877.8849,2
877.91705,2
877.4461,2
878.5008,2
879.4451,2
878.4736,2
876.98236,2
876.9143,2
876.72894,2
874.70966,2
872.1561,2
870.92554,2
869.57416,2
866.47253,2
862.8226,2
860.3955,2
857.84454,2
853.62524,2
848.8421,2
845.18066,2
841.3912,2
836.0122,2
830.0539,2
825.1204,2
820.0595,2
813.49054,2
806.33105,2
800.1056,2
793.7585,2
785.98566,2
777.6123,2
770.08453,2
762.44116,2
753.4512,2
743.8514,2
735.014,2
726.0709,2
715.8605,2
705.03357,2
694.89087,2
684.65497,2
673.22833,2
661.1797,2
649.74207,2
638.22534,2
625.5913,2
612.3295,2
599.60956,2
586.8265,2
572.99744,2
558.53827,2
544.55963,2
530.53735,2
515.53723,2
499.90515,2
484.69772,2
469.4677,2
453.3247,2
436.55072,2
420.15366,2
403.75836,2
386.51157,2
368.6354,2
351.09338,2
333.57736,2
315.26517,2
296.32535,2
277.6831,2
259.0924,2
239.75562,2
219.7941,2
200.10104,2
180.48651,2
160.17032,2
139.23209,2
118.53899,2
97.952065,2
76.70301,2
54.83791,2
33.204174,2
11.706509,2
-10.420227,2
-33.15852,2
-55.67462,2
-78.02593,2
-100.97995,2
-124.538795,2
-147.87503,2
-171.01564,2
-194.73894,2
-219.06027,2
-243.15141,2
-267.01477,2
-291.44583,2
-316.46646,2
-341.24243,2
-365.76022,2
-390.8401,2
-416.5024,2
-441.89944,2
-467.00842,2
-492.6812,2
-518.9278,2
-544.87836,2
-570.50824,2
-596.70807,2
-623.4703,2
-649.89716,2
-675.96967,2
-702.6249,2
-729.8316,2
-756.6583,2
-783.1,2
-810.14594,2
-837.7312,2
-864.88165,2
-891.6131,2
-918.9749,2
-946.86273,2
-974.2548,2
-1001.19635,2
-1028.8027,2
-1056.9218,2
-1084.4764,2
-1111.5485,2
-1139.3248,2
-1167.5979,2
-1195.2296,2
-1222.3457,2
-1250.2112,2
-1278.5569,2
-1306.1782,2
-1333.2532,2
-1361.1304,2
